id,Last_NM,First_NM,Street_NR,Street_NM,City,State
137013,,                Alicia            ,21686,Kukui,Spring,Field
67135,,                Alicia            ,24362,Johnson,Spring,Field
67460,,                Alicia            ,25541,Broadway,Spring,Field
67233,,                Alicia            ,26659,Ninth,Spring,Field
67426,,                Alicia            ,28826,Pleasant,Spring,Field
137233,,                Alicia            ,3801,Quail,Spring,Field
67792,,                Alicia            ,7966,Tenth,Spring,Field
137719,,                Alison            ,23051,N,400,Spring
67289,,                Alison            ,24767,Kukui,Spring,Field
66999,,                Alison            ,25143,Pinon,Spring,Field
66973,,                Alison            ,27061,Ridge,Spring,Field
137130,,                Allan            ,12790,Johnson,Spring,Field
67049,,                Allan            ,25685,Wood,Spring,Field
68018,,                Allen            ,15449,Broadway,Spring,Field
136860,,                Allen            ,22176,Pecan,Spring,Field
68192,,                Allen            ,22281,Kahili,Spring,Field
67841,,                Allen            ,26778,Williams,Spring,Field
137523,,                Allen            ,27094,Third,Spring,Field
137873,,                Allen            ,7555,Johnson,Spring,Field
136896,,                Allison            ,10193,Orchard,Spring,Field
66924,,                Allison            ,5634,Apache,Spring,Field
68016,,                Allison            ,6596,First,Spring,Field
67657,,                Alma            ,7701,Aloha,Spring,Field
67064,,                Alondra            ,28885,Hemlock,Spring,Field
66900,,                Alvin            ,24081,Juniper,Spring,Field
137340,,                Alvin            ,8304,Smith,Spring,Field
136988,,                Alyssa            ,13755,Jackson,Spring,Field
67820,,                Alyssa            ,17815,Eleventh,Spring,Field
137160,,                Alyssa            ,21544,Second,Spring,Field
67086,,                Alyssa            ,8520,Lake,Spring,Field
137025,,                Amanda            ,10463,Wood,Spring,Field
67459,,                Amanda            ,15555,Aloha,Spring,Field
68148,,                Amanda            ,25501,Mountain,View,Spring
137434,,                Amanda            ,4005,Kukui,Spring,Field
67021,,                Amanda            ,8803,Narragansett,Spring,Field
137332,,                Amanda            ,9679,N,400,Spring
138005,,                Amber            ,11370,Highland,Spring,Field
68253,,                Amber            ,22473,Quail,Spring,Field
137824,,                Amber            ,28963,Fourth,Spring,Field
138117,,                Amy            ,14505,Pioneer,Spring,Field
137144,,                Amy            ,14767,Mountain,View,Spring
67464,,                Amy            ,16170,Hill,Spring,Field
137805,,                Amy            ,266,Canyon,Spring,Field
67022,,                Ana            ,13887,Aspen,Spring,Field
67126,,                Ana            ,328,Seventh,Spring,Field
138215,,                Ana            ,4812,Mesquite,Spring,Field
137256,,                Andre            ,14517,Hillside,Spring,Field
137496,,                Andre            ,16162,Center,Spring,Field
67928,,                Andre            ,23168,Highland,Spring,Field
137860,,                Andrea            ,10032,Magnolia,Spring,Field
67303,,                Andrea            ,17514,Hill,Spring,Field
137734,,                Andrea            ,28062,Orchard,Spring,Field
67772,,                Andrea            ,3425,Cedar,Spring,Field
67041,,                Andrea            ,7749,River,Spring,Field
68214,,                Andrea            ,8212,Laurel,Spring,Field
136877,,                Andres            ,12042,Lehua,Spring,Field
137692,,                Andres            ,15926,Hill,Spring,Field
66950,,                Andrew            ,10759,Lehua,Spring,Field
137423,,                Andrew            ,14172,Sixth,Spring,Field
67102,,                Andrew            ,1719,Ninth,Spring,Field
136935,,                Andrew            ,20713,Maple,Spring,Field
67116,,                Andrew            ,22953,Birch,Spring,Field
67087,,                Andrew            ,26520,Evergreen,Spring,Field
67281,,                Andrew            ,6610,Evergreen,Spring,Field
67566,,                Andrew            ,7976,Cypress,Spring,Field
67777,,                Angel            ,3228,Mesquite,Spring,Field
67933,,                Angel            ,9776,Airport,Spring,Field
137542,,                Angela            ,13233,Canyon,Spring,Field
67119,,                Angela            ,20030,Malulani,Spring,Field
137697,,                Angela            ,21724,S,400,Spring
67097,,                Angela            ,5863,Malulani,Spring,Field
136888,,                Angelica            ,19357,Pecan,Spring,Field
137307,,                Angelica            ,23220,Lee,Spring,Field
137712,,                Angelina            ,28226,Navajo,Spring,Field
67051,,                Angie            ,5485,Hickory,Spring,Field
67157,,                Anita            ,3934,Laurel,Spring,Field
137682,,                Anita            ,7832,Pioneer,Spring,Field
137842,,                Ann            ,17071,Pine,Spring,Field
67626,,                Ann            ,18502,Aloha,Spring,Field
66884,,                Ann            ,27817,Meadow,Spring,Field
67155,,                Ann            ,7860,River,Spring,Field
68026,,                Anna            ,11002,West,Spring,Field
67040,,                Anna            ,11120,Holly,Spring,Field
67599,,                Anna            ,12649,Birch,Spring,Field
67619,,                Anna            ,1441,Second,Spring,Field
138135,,                Anna            ,15449,Sunset,Spring,Field
67037,,                Anna            ,16392,Malulani,Spring,Field
67903,,                Anna            ,18392,N,400,Spring
138151,,                Anna            ,19751,Williams,Spring,Field
137174,,                Anna            ,2717,Spruce,Spring,Field
137444,,                Anna            ,6518,Palo,Verde,Spring
137932,,                Anne            ,15361,Cedar,Spring,Field
137792,,                Anne            ,1919,Bay,Spring,Field
67786,,                Anne            ,21078,Sunset,Spring,Field
67200,,                Anne            ,26027,Hampton,Spring,Field
68160,,                Anne            ,4328,Malulani,Spring,Field
67007,,                Anne            ,6480,Wilson,Spring,Field
138049,,                Annette            ,20751,Tenth,Spring,Field
67606,,                Annette            ,245,Tenth,Spring,Field
68204,,                Annette            ,2843,Orchard,Spring,Field
67888,,                Annette            ,5768,Jackson,Spring,Field
67285,,                Annette            ,7787,Williams,Spring,Field
137270,,                Annie            ,5221,Pecan,Spring,Field
137655,,                Anthony            ,28381,Mountain,View,Spring
67674,,                Anthony            ,37,Hillside,Spring,Field
137446,,                Anthony            ,7874,Navajo,Spring,Field
136923,,                Antonio            ,16317,Mountain,View,Spring
137240,,                Antonio            ,17592,Cedar,Spring,Field
137845,,                April            ,14042,Thirteenth,Spring,Field
137323,,                April            ,21483,Orchard,Spring,Field
138178,,                April            ,21610,Airport,Spring,Field
67972,,                April            ,27802,Canyon,Spring,Field
67958,,                Ariel            ,27055,Malulani,Spring,Field
138017,,                Ariel            ,6957,Wilson,Spring,Field
66922,,                Arthur            ,9779,Narragansett,Spring,Field
68256,,                Ashlee            ,20209,River,Spring,Field
66901,,                Ashley            ,8311,North,Spring,Field
67039,,                Ashlyn            ,5140,Laurel,Spring,Field
67309,,                Ashton            ,15603,Shore,Spring,Field
67162,,                Audrey            ,10585,Eleventh,Spring,Field
137726,,                Audrey            ,26703,Eleventh,Spring,Field
67951,,                Audrey            ,26829,Maple,Spring,Field
67572,,                Austin            ,16587,Hampton,Spring,Field
68053,,                Austin            ,20069,Elm,Spring,Field
67520,,                Autumn            ,23185,Cypress,Spring,Field
67932,,                Autumn            ,8512,Twelfth,Spring,Field
67629,,                Ava            ,9130,Cedar,Spring,Field
66988,,                Bailey            ,23817,A,Spring,Field
67831,,                Barbara            ,12246,Cottonwood,Spring,Field
137800,,                Barbara            ,22928,Holly,Spring,Field
67082,,                Barbara            ,26715,S,100,Spring
137044,,                Barbara            ,8247,Quail,Spring,Field
67450,,                Barry            ,10308,Bay,Spring,Field
137616,,                Barry            ,19969,Jackson,Spring,Field
67679,,                Becky            ,2000,Columbine,Spring,Field
68221,,                Becky            ,2995,Wilson,Spring,Field
137404,,                Benjamin            ,16519,Fifth,Spring,Field
67136,,                Benjamin            ,19881,Laurel,Spring,Field
67179,,                Benjamin            ,21606,Thirteenth,Spring,Field
137866,,                Bennie            ,13718,Williams,Spring,Field
67270,,                Bennie            ,26294,Redwood,Spring,Field
67987,,                Bernard            ,26026,Pine,Spring,Field
67093,,                Bernice            ,20932,River,Spring,Field
137016,,                Bertha            ,18493,Lincoln,Spring,Field
67523,,                Beth            ,1694,Hemlock,Spring,Field
68159,,                Bethany            ,22532,Kahili,Spring,Field
67212,,                Betty            ,17400,Cedar,Spring,Field
137370,,                Beverly            ,17989,Second,Spring,Field
137449,,                Beverly            ,4043,Williams,Spring,Field
137492,,                Bianca            ,392,Twelfth,Spring,Field
67017,,                Bianca            ,9116,Aspen,Spring,Field
68032,,                Billie            ,1377,Juniper,Spring,Field
68050,,                Billy            ,1014,Meadow,Spring,Field
137706,,                Billy            ,1148,Smith,Spring,Field
67321,,                Billy            ,4687,Kansas,Spring,Field
137382,,                Billy            ,563,Meadow,Spring,Field
137976,,                Blake            ,11332,Highland,Spring,Field
67251,,                Bob            ,27618,Hillside,Spring,Field
138193,,                Bobbie            ,9114,Johnson,Spring,Field
67444,,                Bobby            ,10129,Second,Spring,Field
137878,,                Bobby            ,11263,Church,Spring,Field
66886,,                Bobby            ,22579,Lincoln,Spring,Field
67896,,                Bobby            ,28540,Meadow,Spring,Field
67747,,                Bobby            ,8736,Aspen,Spring,Field
137108,,                Bonnie            ,13148,Mountain,View,Spring
137306,,                Bonnie            ,17081,First,Spring,Field
137030,,                Brad            ,14535,Delaware,Spring,Field
137255,,                Brad            ,2560,County,Line,Spring
137150,,                Brad            ,25960,Lincoln,Spring,Field
67473,,                Brad            ,8562,Center,Spring,Field
138172,,                Bradley            ,13943,Smith,Spring,Field
67031,,                Bradley            ,20589,Jackson,Spring,Field
67957,,                Bradley            ,26266,Lake,Spring,Field
67946,,                Bradley            ,29149,Church,Spring,Field
68029,,                Bradley            ,3476,A,Spring,Field
68146,,                Brandi            ,4299,Sunset,Spring,Field
67062,,                Brandon            ,14336,Hampton,Spring,Field
67927,,                Brandon            ,14492,Williams,Spring,Field
67029,,                Brandon            ,23550,Broadway,Spring,Field
67593,,                Brandy            ,11795,Palo,Verde,Spring
67456,,                Brandy            ,21279,Church,Spring,Field
68289,,                Breanna            ,19581,Seventh,Spring,Field
67228,,                Breanna            ,28815,Malulani,Spring,Field
137686,,                Brenda            ,13798,Wilson,Spring,Field
137194,,                Brenda            ,25995,Airport,Spring,Field
66976,,                Brenda            ,7103,Kansas,Spring,Field
67750,,                Brendan            ,15277,Shore,Spring,Field
136874,,                Brett            ,12475,County,Line,Spring
136947,,                Brett            ,5607,Pioneer,Spring,Field
68061,,                Brian            ,11961,A,Spring,Field
67816,,                Brian            ,13345,Oak,Spring,Field
137959,,                Brian            ,14304,Magnolia,Spring,Field
68315,,                Brian            ,14392,West,Spring,Field
67009,,                Brian            ,17230,Lehua,Spring,Field
137498,,                Briana            ,13704,Cottonwood,Spring,Field
67417,,                Briana            ,29541,Maple,Spring,Field
67424,,                Brianna            ,23813,Hillside,Spring,Field
67437,,                Brianna            ,4174,Second,Spring,Field
67413,,                Brianna            ,6969,Highland,Spring,Field
67724,,                Bridget            ,11248,Jackson,Spring,Field
137923,,                Bridget            ,3948,Wilson,Spring,Field
67323,,                Brittany            ,14977,Hickory,Spring,Field
67439,,                Brittany            ,19900,Pleasant,Spring,Field
137120,,                Brittany            ,6244,Redwood,Spring,Field
67483,,                Brittney            ,10606,Lehua,Spring,Field
68302,,                Brittney            ,6015,Narragansett,Spring,Field
67611,,                Brody            ,1925,Spruce,Spring,Field
67940,,                Brooke            ,18369,Eleventh,Spring,Field
137766,,                Brooke            ,18676,Third,Spring,Field
68089,,                Brooke            ,25133,Pioneer,Spring,Field
67322,,                Brooke            ,26745,First,Spring,Field
67563,,                Bruce            ,20014,Narragansett,Spring,Field
66954,,                Bruce            ,24051,Eleventh,Spring,Field
137869,,                Bruce            ,27533,Cedar,Spring,Field
67914,,                Bruce            ,4608,Cottonwood,Spring,Field
68155,,                Bruce            ,5687,Magnolia,Spring,Field
66944,,                Bruce            ,9217,Hickory,Spring,Field
67667,,                Bruce            ,9661,Malulani,Spring,Field
66993,,                Bruce            ,9669,Pleasant,Spring,Field
67632,,                Bryan            ,12590,Hampton,Spring,Field
67047,,                Bryan            ,13995,Apache,Spring,Field
66971,,                Bryan            ,14300,Johnson,Spring,Field
136835,,                Bryan            ,9988,Aloha,Spring,Field
136885,,                Bryce            ,306,A,Spring,Field
67295,,                Bryce            ,7844,Delaware,Spring,Field
67074,,                Bryson            ,119,West,Spring,Field
66978,,                Bryson            ,5539,Canyon,Spring,Field
67809,,                Caden            ,243,Cedar,Spring,Field
67438,,                Caitlin            ,17470,Ridge,Spring,Field
67045,,                Caitlyn            ,24118,Kansas,Spring,Field
67466,,                Caleb            ,21065,A,Spring,Field
67398,,                Caleb            ,24629,Malulani,Spring,Field
137366,,                Caleb            ,25338,Highland,Spring,Field
138080,,                Calvin            ,10512,Wilson,Spring,Field
67851,,                Calvin            ,13791,Kukui,Spring,Field
68299,,                Calvin            ,17204,Highland,Spring,Field
137273,,                Calvin            ,5102,West,Spring,Field
138094,,                Calvin            ,9669,Washington,Spring,Field
67601,,                Calvin            ,9723,Tenth,Spring,Field
137762,,                Cameron            ,10195,Kukui,Spring,Field
68237,,                Cameron            ,17756,S,400,Spring
67805,,                Candice            ,5130,River,Spring,Field
137626,,                Carl            ,179,Delaware,Spring,Field
68117,,                Carla            ,15515,Wood,Spring,Field
137330,,                Carla            ,17096,Quail,Spring,Field
138011,,                Carla            ,21385,Cottonwood,Spring,Field
67530,,                Carla            ,7536,Twelfth,Spring,Field
67161,,                Carlos            ,11139,Washington,Spring,Field
67519,,                Carlos            ,27838,Lincoln,Spring,Field
137594,,                Carlos            ,6961,Thirteenth,Spring,Field
67936,,                Carly            ,4475,Twelfth,Spring,Field
68210,,                Carly            ,8230,Dogwood,Spring,Field
67487,,                Carmen            ,13188,Quail,Spring,Field
66995,,                Carmen            ,13763,Cherry,Spring,Field
67953,,                Carol            ,13266,Holly,Spring,Field
68297,,                Carol            ,14230,Cherry,Spring,Field
67514,,                Carol            ,14886,Birch,Spring,Field
137574,,                Carol            ,28747,Main,Spring,Field
68308,,                Carol            ,8491,Oak,Spring,Field
67318,,                Carole            ,6005,Kukui,Spring,Field
137539,,                Carole            ,8479,Center,Spring,Field
67848,,                Caroline            ,1525,Pecan,Spring,Field
67635,,                Caroline            ,15902,Apache,Spring,Field
137020,,                Caroline            ,20407,Williams,Spring,Field
137397,,                Caroline            ,5676,Apache,Spring,Field
137407,,                Carolyn            ,17130,Williams,Spring,Field
137178,,                Carolyn            ,17846,Sixth,Spring,Field
137689,,                Carson            ,12888,Third,Spring,Field
136966,,                Carson            ,19491,Kukui,Spring,Field
67465,,                Casey            ,28834,Center,Spring,Field
67352,,                Casey            ,3392,Lehua,Spring,Field
67178,,                Cassandra            ,114,Airport,Spring,Field
67020,,                Cassandra            ,12363,Twelfth,Spring,Field
67731,,                Cassandra            ,18198,Hampton,Spring,Field
67621,,                Cassandra            ,25843,S,400,Spring
137815,,                Cassandra            ,4226,Magnolia,Spring,Field
137589,,                Cassandra            ,4308,Pine,Spring,Field
67551,,                Cassidy            ,15362,Spruce,Spring,Field
138154,,                Cassie            ,25246,Oak,Spring,Field
138234,,                Catherine            ,12082,Wilson,Spring,Field
66885,,                Catherine            ,1402,Pecan,Spring,Field
68235,,                Catherine            ,20160,Pecan,Spring,Field
67397,,                Catherine            ,26496,Fifth,Spring,Field
137632,,                Catherine            ,5882,Canyon,Spring,Field
138250,,                Catherine            ,6125,Pioneer,Spring,Field
66969,,                Cathy            ,20050,Columbine,Spring,Field
67166,,                Cathy            ,20679,Meadow,Spring,Field
68020,,                Cesar            ,11388,Oak,Spring,Field
136845,,                Cesar            ,22667,Dogwood,Spring,Field
138139,,                Chad            ,13694,Second,Spring,Field
138015,,                Chad            ,15588,Lee,Spring,Field
67540,,                Chad            ,16766,Holly,Spring,Field
68116,,                Chad            ,23570,Hampton,Spring,Field
67658,,                Charles            ,10969,S,400,Spring
68303,,                Charles            ,14866,Juniper,Spring,Field
138063,,                Charles            ,20637,Hampton,Spring,Field
68208,,                Charles            ,20842,Lincoln,Spring,Field
67204,,                Charles            ,23705,Lee,Spring,Field
67521,,                Charles            ,5799,Birch,Spring,Field
137717,,                Charlie            ,28839,Hill,Spring,Field
137343,,                Charlotte            ,13406,Eleventh,Spring,Field
67152,,                Chase            ,7383,Aspen,Spring,Field
67463,,                Chelsea            ,11870,Jackson,Spring,Field
136917,,                Chelsea            ,9265,West,Spring,Field
137309,,                Chelsey            ,17946,Sixth,Spring,Field
67788,,                Cheryl            ,11695,Lakeview,Spring,Field
67429,,                Cheryl            ,11928,Aloha,Spring,Field
66899,,                Cheryl            ,8047,Oak,Spring,Field
136832,,                Chester            ,29233,North,Spring,Field
136836,,                Cheyenne            ,22159,Pioneer,Spring,Field
66935,,                Cheyenne            ,3413,Washington,Spring,Field
66888,,                Chris            ,14606,Columbine,Spring,Field
67842,,                Chris            ,21886,Second,Spring,Field
67259,,                Chris            ,23936,County,Line,Spring
66987,,                Chris            ,24044,Laurel,Spring,Field
67824,,                Christian            ,13578,North,Spring,Field
67394,,                Christian            ,20423,Fourth,Spring,Field
137736,,                Christian            ,7551,Cedar,Spring,Field
67109,,                Christina            ,1201,River,Spring,Field
67733,,                Christina            ,29714,Kansas,Spring,Field
67943,,                Christine            ,10045,Airport,Spring,Field
137938,,                Christine            ,15472,Cypress,Spring,Field
137334,,                Christine            ,16663,Wood,Spring,Field
137338,,                Christine            ,17480,Center,Spring,Field
67272,,                Christine            ,19730,River,Spring,Field
137888,,                Christine            ,2071,Narragansett,Spring,Field
67345,,                Christine            ,6889,Cottonwood,Spring,Field
136893,,                Christopher            ,13503,Ninth,Spring,Field
137096,,                Christopher            ,1439,Pleasant,Spring,Field
67427,,                Christopher            ,19968,Birch,Spring,Field
67170,,                Christopher            ,2056,Meadow,Spring,Field
138249,,                Christopher            ,22034,West,Spring,Field
67803,,                Christopher            ,23674,River,Spring,Field
66970,,                Christopher            ,27088,Lehua,Spring,Field
67793,,                Christopher            ,6744,Walnut,Spring,Field
138134,,                Christopher            ,7424,Apache,Spring,Field
68033,,                Christy            ,16873,Washington,Spring,Field
67807,,                Cindy            ,24514,Palo,Verde,Spring
67652,,                Cindy            ,4523,Evergreen,Spring,Field
137186,,                Clarence            ,13649,Dogwood,Spring,Field
67763,,                Clarence            ,15074,Canyon,Spring,Field
138092,,                Clarence            ,17729,Tenth,Spring,Field
67054,,                Claude            ,14060,Oak,Spring,Field
138086,,                Claude            ,29735,Kukui,Spring,Field
137412,,                Claudia            ,3210,Wilson,Spring,Field
68010,,                Clayton            ,29743,Sycamore,Spring,Field
67528,,                Clifford            ,11796,Hillside,Spring,Field
67307,,                Clifford            ,2665,Pleasant,Spring,Field
136980,,                Clifford            ,27706,Pecan,Spring,Field
67449,,                Clinton            ,26340,Laurel,Spring,Field
67446,,                Clinton            ,28745,Airport,Spring,Field
137073,,                Clyde            ,14982,Johnson,Spring,Field
68123,,                Clyde            ,16574,Lake,Spring,Field
67296,,                Clyde            ,25686,Hickory,Spring,Field
67925,,                Cody            ,1523,Lakeview,Spring,Field
137550,,                Cody            ,23927,Canyon,Spring,Field
67838,,                Colby            ,20472,Main,Spring,Field
137502,,                Cole            ,10048,Lake,Spring,Field
137425,,                Cole            ,17207,Williams,Spring,Field
67468,,                Colin            ,806,Fifth,Spring,Field
137459,,                Colleen            ,15894,Delaware,Spring,Field
136858,,                Colton            ,20870,Lincoln,Spring,Field
67385,,                Conner            ,26765,Quail,Spring,Field
137675,,                Connie            ,16088,Seventh,Spring,Field
68181,,                Connie            ,28454,Park,Spring,Field
136922,,                Connor            ,12646,Orchard,Spring,Field
138155,,                Constance            ,12437,Pioneer,Spring,Field
67917,,                Constance            ,18767,Dogwood,Spring,Field
137647,,                Constance            ,57,Kansas,Spring,Field
67509,,                Cooper            ,11352,Cypress,Spring,Field
67889,,                Corey            ,29244,Kahili,Spring,Field
137287,,                Cory            ,11802,Seventh,Spring,Field
137857,,                Cory            ,1520,Cedar,Spring,Field
67445,,                Cory            ,19461,First,Spring,Field
66891,,                Cory            ,24456,Lakeview,Spring,Field
137661,,                Cory            ,3087,Juniper,Spring,Field
66940,,                Cory            ,3923,Mountain,View,Spring
137258,,                Cory            ,6628,Third,Spring,Field
67659,,                Courtney            ,19274,Washington,Spring,Field
67453,,                Courtney            ,28188,Lehua,Spring,Field
137051,,                Craig            ,12228,Kahili,Spring,Field
67862,,                Craig            ,22113,Cedar,Spring,Field
67192,,                Craig            ,26341,Williams,Spring,Field
66958,,                Cristian            ,16714,Lake,Spring,Field
137388,,                Cristian            ,1749,Mountain,View,Spring
137979,,                Cristian            ,20736,Orchard,Spring,Field
137910,,                Cristina            ,7001,Kahili,Spring,Field
138084,,                Crystal            ,15620,Second,Spring,Field
67930,,                Crystal            ,6415,Airport,Spring,Field
68249,,                Crystal            ,7814,Laurel,Spring,Field
67314,,                Curtis            ,136,Second,Spring,Field
137115,,                Curtis            ,4634,Pecan,Spring,Field
137435,,                Cynthia            ,1704,Pleasant,Spring,Field
67794,,                Cynthia            ,2698,Park,Spring,Field
68309,,                Cynthia            ,3777,Kahili,Spring,Field
67968,,                Cynthia            ,6633,Maple,Spring,Field
67001,,                Cynthia            ,6635,Dogwood,Spring,Field
68261,,                Daisy            ,15048,Kahili,Spring,Field
67684,,                Daisy            ,6827,Delaware,Spring,Field
138068,,                Dakota            ,15830,River,Spring,Field
67187,,                Dakota            ,20240,Highland,Spring,Field
136952,,                Dakota            ,255,Bay,Spring,Field
137627,,                Dakota            ,2579,Eighth,Spring,Field
137300,,                Dale            ,14390,Sycamore,Spring,Field
66953,,                Dale            ,2967,Pinon,Spring,Field
68202,,                Dalton            ,5768,Fourth,Spring,Field
67624,,                Damian            ,14453,Highland,Spring,Field
67238,,                Damian            ,28376,Dogwood,Spring,Field
67347,,                Damon            ,20315,Columbine,Spring,Field
68109,,                Dan            ,10622,Twelfth,Spring,Field
138069,,                Dan            ,11737,S,100,Spring
137082,,                Dan            ,15516,S,400,Spring
67655,,                Dan            ,4405,Walnut,Spring,Field
67568,,                Dana            ,23473,Church,Spring,Field
137906,,                Dana            ,25764,Williams,Spring,Field
137685,,                Dana            ,286,Kansas,Spring,Field
137054,,                Dana            ,4087,Pleasant,Spring,Field
137847,,                Daniel            ,10048,Hampton,Spring,Field
67646,,                Daniel            ,21709,Hemlock,Spring,Field
67979,,                Daniel            ,2213,Park,Spring,Field
137447,,                Daniel            ,25265,Pioneer,Spring,Field
67367,,                Daniel            ,4691,Kukui,Spring,Field
67066,,                Daniel            ,7667,Shore,Spring,Field
68085,,                Daniela            ,15659,Airport,Spring,Field
67494,,                Daniela            ,17378,County,Line,Spring
66941,,                Danielle            ,20248,Fifth,Spring,Field
67922,,                Danielle            ,6734,Park,Spring,Field
137881,,                Danny            ,12142,Church,Spring,Field
136977,,                Danny            ,22460,Sixth,Spring,Field
137665,,                Danny            ,3054,Highland,Spring,Field
67843,,                Danny            ,5992,Wood,Spring,Field
67441,,                Darlene            ,2320,County,Line,Spring
138210,,                Darlene            ,6752,Cedar,Spring,Field
67548,,                Darlene            ,9454,Redwood,Spring,Field
67235,,                Darrell            ,2326,Twelfth,Spring,Field
137355,,                Darrell            ,25648,Walnut,Spring,Field
67919,,                Darrell            ,28277,Airport,Spring,Field
68260,,                Darrell            ,29901,Juniper,Spring,Field
137825,,                Darren            ,27712,Smith,Spring,Field
136961,,                Darren            ,8081,Tenth,Spring,Field
68131,,                Darryl            ,22899,Sixth,Spring,Field
67098,,                Darryl            ,9804,County,Line,Spring
67382,,                Daryl            ,7570,Second,Spring,Field
68200,,                Daryl            ,9159,Broadway,Spring,Field
67227,,                Dave            ,25985,Apache,Spring,Field
66998,,                Dave            ,5368,Ninth,Spring,Field
67057,,                David            ,12401,North,Spring,Field
137527,,                David            ,28144,Canyon,Spring,Field
67065,,                David            ,6779,Elm,Spring,Field
137608,,                Dawn            ,2662,Hampton,Spring,Field
67402,,                Dawn            ,8597,Highland,Spring,Field
137414,,                Dean            ,21785,Spruce,Spring,Field
138131,,                Dean            ,28697,Sixth,Spring,Field
137285,,                Deanna            ,18204,Johnson,Spring,Field
137631,,                Deanna            ,8861,Church,Spring,Field
68230,,                Deborah            ,13083,Center,Spring,Field
67717,,                Deborah            ,13459,Cedar,Spring,Field
67050,,                Deborah            ,22763,Willow,Spring,Field
67275,,                Deborah            ,27171,Meadow,Spring,Field
136983,,                Deborah            ,8480,Fourth,Spring,Field
138156,,                Denise            ,22989,Seventh,Spring,Field
137596,,                Denise            ,25643,Aspen,Spring,Field
138138,,                Dennis            ,11440,Tenth,Spring,Field
67525,,                Dennis            ,14507,Evergreen,Spring,Field
66961,,                Dennis            ,20368,First,Spring,Field
137735,,                Dennis            ,21586,Mesquite,Spring,Field
68096,,                Dennis            ,26823,Mountain,View,Spring
137129,,                Dennis            ,4293,Second,Spring,Field
67945,,                Dennis            ,5576,Malulani,Spring,Field
67221,,                Dennis            ,8489,Orchard,Spring,Field
137456,,                Derek            ,1336,Evergreen,Spring,Field
67099,,                Derek            ,16405,Aloha,Spring,Field
67458,,                Derek            ,18967,Laurel,Spring,Field
137058,,                Derek            ,21013,Sunset,Spring,Field
68306,,                Derek            ,25251,Airport,Spring,Field
137849,,                Derek            ,3282,Redwood,Spring,Field
67202,,                Derek            ,6656,Aloha,Spring,Field
137117,,                Derek            ,6693,Aspen,Spring,Field
68177,,                Desiree            ,23281,Apache,Spring,Field
137091,,                Destiny            ,11077,Kukui,Spring,Field
136957,,                Devin            ,16302,Johnson,Spring,Field
67156,,                Diana            ,17744,Tenth,Spring,Field
67944,,                Diana            ,19792,Ridge,Spring,Field
67602,,                Diana            ,21116,Palo,Verde,Spring
